Billing Tag,Client,Instance,Backupset,Subclient,Storage_Policy,Copy,FEB Size,FEA Size,Primary AppSize,Protected App Size,Media Size
Azure - PROD,CLPASQLSR002_AGClient,CLPASQLAG002/CLPASQLAG002,defaultBackupSet,CLPASQLAG002/FULL,STP_AZU_PRD_CLPABKPSR005_GERAL,Primary,0.0,0.0,0.0,0.0,0.0
Azure - PROD,CLPASQLSR002_AGClient,CLPASQLAG002/CLPASQLAG002,defaultBackupSet,CLPASQLAG002/FULL,STP_AZU_PRD_CLPABKPSR005_GERAL,Retention-1yr,0.0,0.0,0.0,0.0,0.0
Azure - PROD,CLPASQLSR002_AGClient,CLPASQLAG002/SQLAG002,defaultBackupSet,CLPASQLAG002/SQLAG002/FULL,STP_AZU_PRD_CLPABKPSR005_GERAL,Primary,0.018,0.0,0.019,0.019,0.001
Azure - PROD,CLPASQLSR002_AGClient,CLPASQLAG002/SQLAG002,defaultBackupSet,CLPASQLAG002/SQLAG002/FULL,STP_AZU_PRD_CLPABKPSR005_GERAL,Retention-1yr,0.0,0.0,0.0,0.0,0.0
Azure - PROD,CLPASQLSR004_AGClient,CLPASQLAG004/CLPASQLAG004,defaultBackupSet,CLPASQLAG004/FULL,STP_AZU_PRD_CLPABKPSR005_GERAL,Primary,0.0,0.0,0.0,0.0,0.0
Azure - PROD,CLPASQLSR004_AGClient,CLPASQLAG004/CLPASQLAG004,defaultBackupSet,CLPASQLAG004/FULL,STP_AZU_PRD_CLPABKPSR005_GERAL,Retention-1yr,0.0,0.0,0.0,0.0,0.0
Azure - PROD,CLPASQLSR004_AGClient,CLPASQLAG004/SQLAG004,defaultBackupSet,CLPASQLSR004/FULL,STP_AZU_PRD_CLPABKPSR005_GERAL,Primary,0.001,0.0,0.001,0.001,0.0
Azure - PROD,CLPASQLSR004_AGClient,CLPASQLAG004/SQLAG004,defaultBackupSet,CLPASQLSR004/FULL,STP_AZU_PRD_CLPABKPSR005_GERAL,Retention-1yr,0.0,0.0,0.0,0.0,0.0
DCCM - OnPremisses,JBPADSVSR013,VMware,defaultBackupSet,Cluster_PRDJB_CSPROD,#STP_DATACENTER_VM_01,Primary,0.171,0.0,0.0,0.0,0.0
DCCM - OnPremisses,JBPADSVSR012,VMware,defaultBackupSet,Cluster_PRDJB_CSPROD,#STP_DATACENTER_VM_01,Primary,0.181,0.0,0.0,0.0,0.0
DCCM - OnPremisses,LQPAESCSR003,VMware,defaultBackupSet,Cluster_PRODCL,#STP_DATACENTER_VM_01,Primary,0.011,0.0,0.0,0.0,0.0
Azure - PROD,JBPAAUDSR001,Azure Resource Manager,defaultBackupSet,PRODUCAO-PROD,STP_AZU_PRD_CLPABKPSR005_VM,Primary,0.117,0.0,0.0,0.0,0.0
Azure - PROD,JBPAAUDSR002,Azure Resource Manager,defaultBackupSet,PRODUCAO-PROD,STP_AZU_PRD_CLPABKPSR005_VM,Primary,0.096,0.0,0.0,0.0,0.0
Azure - PROD,JBPAAUDSR006,Azure Resource Manager,defaultBackupSet,PRODUCAO-JBPAAUDSR006,STP_AZU_PRD_CLPABKPSR005_VM,Primary,2.975,0.0,0.0,0.0,0.0
Azure - PROD,JBPAAUDSR007,Azure Resource Manager,defaultBackupSet,PRODUCAO-PROD,STP_AZU_PRD_CLPABKPSR005_VM,Primary,1.042,0.0,0.0,0.0,0.0
DCCM - OnPremisses,SP0001690152,VMware,defaultBackupSet,GSATRJ_VM_DT_MSA,#STP_DATACENTER_VM_01,Primary,0.009,0.0,0.0,0.0,0.0
DCCM - OnPremisses,LQPAADSSR001,VMware,defaultBackupSet,Cluster_PRDJB_CSPROD,#STP_DATACENTER_VM_01,Primary,0.024,0.0,0.0,0.0,0.0
DCCM - OnPremisses,OG-W16-DC-P02,VMware,defaultBackupSet,og-esx-vm-p02.corp.orgglobo.com.br,STP_TVGRJ_VM_PRES,1.Primary,0.037,0.0,0.012,0.012,0.001
Azure - PROD,CLPANETSR001,Azure Resource Manager,defaultBackupSet,PRODUCAO-PROD,STP_AZU_PRD_CLPABKPSR005_VM,Primary,0.083,0.0,0.0,0.0,0.0
Azure - PROD,CLPANETSR002,Azure Resource Manager,defaultBackupSet,PRODUCAO-PROD,STP_AZU_PRD_CLPABKPSR005_VM,Primary,0.093,0.0,0.0,0.0,0.0
